"@","社交ダンスの競技会で、競技終了後に優勝カップルの前で踊るダンスのことを「名誉」という意味の英語を使って何ダンスというでしょう？","オナーダンス","おなー"
"@","その名は「奇妙なエビ」を意味し、バージェス動物群の代表的な生物である、古生代・カンブリア紀の海で食物連鎖の頂点にいたとされる動物は何でしょう？","アノマロカリス","あのまろかりす"
"@","「P≠NP予想」「ホッジ予想」「リーマン予想」などが含まれる、アメリカのクレイ数学研究所によって100万ドルの懸賞金がかけられた7つの数学上の問題のことを総称して「何懸賞問題」というでしょう？","ミレニアム懸賞問題","みれにあむ"
"@","「四畳半じゃ狭すぎる」をキャッチコピーにデビューした、「空に星が切れい」「やさしくなりたい」「歩いて帰ろう」などの代表曲があるシンガーソングライターは誰でしょう？","斎藤和義","さいとうかずよし"
"@","早世した王子の像が、不幸な人々を幸せにするために、ツバメに頼んで自身の体を覆う金箔や宝石を分け与えるという内容の、オスカー・ワイルドの児童向け短編小説は何でしょう？","幸福な王子","こうふくなおうじ"
"@","慣用句で、人の親切や行為がそれを受ける側にとってはかえって不利益となっていることを、うれしく思う気持ちと煩わしく思う気持ちを意味する2つの言葉を組み合わせて何というでしょう？","有難迷惑","ありがためいわく"
"@","大鹿窪遺跡、山木遺跡、野呂遺跡といえば、どこの都道府県にある遺跡でしょう？","静岡県","しずおか"
"@","剣道かの内藤高治が用いて広まったとされる標語で、常に相手に敬意を表し、試合では作法を守るという、武道における基本の精神を「何に始まり何に終わる」というでしょう？","礼に始まり礼に終わる","れい"
"@","隅田川のほとりから出立し、松島、平泉などを経て、大垣で終わる、松尾芭蕉の紀行俳諧作品は何でしょう？","おくのほそ道","おくのほそみち"
"@","鹿児島県の薩摩地鶏、秋田の比内地鶏とともに「日本三大地鶏」に数えられる、正式な品種名を「名古屋種」という愛知県の地鶏は何でしょう？","名古屋コーチン","なごやこーちん"
"@","日本列島も含まれている、アルプス・ヒマラヤ造山帯とともに地球の二大造山帯に数えられる新期造山帯は「何造山帯」でしょう？","環太平洋造山帯","かんたいへいよう"
"@","2014年に電子情報技術産業協会と日本オーディオ協会によって定義されて、CDのスペックを超えているデジタル音源を指す言葉の略称は何でしょう？","ハイレゾ","はいれぞ"
"@","フライパンを持ち、コックの姿をした「こぶた」というキャラクターをシンボルマークとしている、主な製品にインスタント麺の「ワンタンメン」や「スーパーカップ」などがある、大阪府吹田市に本社を置く食品メーカーは何でしょう？","エースコック","えーすこっく"
"@","名前を冠したゲーム作品「不思議なダンジョン」シリーズでは主人公として登場する、スクウェア・エニックスのRPG「ファイナルファンタジー」シリーズに登場する黄色い鳥のキャラクターの名前は何でしょう？","チョコボ","ちょこぼ"
"@","スポーツ新聞などでは比ゆ的に「怪我人が多すぎてチームが機能していない状態」という意味でも用いられる、戦場の後方に設置し、戦傷者を収容して応急処置を施すための施設のことを一般に漢字4文字で何というでしょう？","野戦病院","やせんびょういん"
"@","祖父・双六からもらった「千年パズル」を完成させたことがきっかけで生まれたもう1つの人格を持っている、高橋和希の漫画「遊☆戯☆王」に登場する主人公の少年は誰？","武藤遊戯","むとうゆうぎ"
"@","ボードゲーム「どうぶつしょうぎ」の初期配置で四隅に並んでいる駒は、きりんと何？","ぞう","ぞう"
"@","かつては「枯草熱」とよばれた、スギやブタクサなどの植物によって引き起こされるアレルギー症状を一般に「何症」というでしょう？","花粉症","かふん"
"@","国籍の違う人同士が結婚することを、日本語で「何結婚」というでしょう？","国際結婚","こくさい"
"@","元々は刀の鍔が柄と鞘に接するところの両面に添える薄い金物のことで、物事が差し迫ったときに「つまる」といわれるものは何？","切羽","せっぱ"
"@","2020年には開始100周年を迎えた、5年に1度、総務省統計局が日本国内に住むすべての人と世帯を対象として、人数や職業などの状況を調べる事業を何というでしょう？","国政調査","こくせいちょうさ"
"@","奈良時代、全国に東大寺をはじめとした国分寺や国分尼寺の建設を命じた第45代天皇は誰でしょう？","聖武天皇","しょうむ"
"@","ディズニーアニメ「ダンボ」で、主人公・ダンボのお母さんの名前は何でしょう？","ジャンボ","じゃんぼ"
"@","LBLやツクダ式などの開放がある、立方体を部分ごとに回転させ、6つの面それぞれを1つの色に揃える立体パズルのことを、その発案者の名前を取って何というでしょう？","ルービックキューブ","るーびっくきゅーぶ"
"@","大塚製薬が販売し、ブルーベリーやアーモンド&チョコレートなどの種類がある、大豆粉を使用したグルテンフリーの栄養食品は何でしょう？","SOY JOY","ソイジョイ"
"@","2001年には星雲賞コミック部門を受賞しており、1988年からはNHKでアニメ化もされた「クロウカード編」「さくらカード編」「クリアカード編」からなり、木之本さくらを主人公とするCLAMPの漫画は何でしょう？","カードキャプターさくら","かーどきゃぷたーさくら"
"@","中学生のころから自身の名前を冠したブログを運営し、記事をまとめた「超暇つぶし図鑑」という著書もある、黒い目線を入れて素顔を隠した姿でおなじみのWebメディア・オモコロで活躍する千葉県出身のライターは誰？","ARuFa","あるふぁ"
"@","その社名はゲーテの小説「若きウェルテルの悩み」のヒロインの名前に由来する、主な商品に「グリーンガム」「ガーナチョコレート」「コアラのマーチ」などがある菓子メーカは何でしょう？","ロッテ","ろって"
"@","2014年に株式会社ヒットポイントによりリリースされて、家の庭先にゴハンやグッズを設置し、やってきた猫たちを観察するという内容のスマホ向けゲームアプリは何でしょう？","ねこあつめ","ねこあつめ"
"@","ゴルフのショット時にボールがクラブヘッドの上部に当たり、意図に反して高くボールを打ち上げてしまうことを、ある料理名を使って俗に何という？","テンプラ","てんぷら"
